
TXT_bible_study_end;The Bible Study has ended.;;;;;;;;;x
studied_bible_timer;recently went on bible study retreat;;;;;;;;;x


EVTDESCATECAD.000;Supporters of the Maroons and Silver Hockey teams have clashed at the Scotia and riots have broken out! The City Guard is fighting to contain the situation, but the Mounties are also standing by. They would make mincemeat of any hooligans before the riot has a chance of spreading to other districts, but there could be significant collateral damage...;;;;;;;;;x
EVTOPTAATECAD.000;Unleash the Mounties.;;;;;;;;;x
EVTOPTBATECAD.000;The City Guard can handle it.;;;;;;;;;x

EVTTOOLTIPATECAD.001;The Mounties prepare for battle.;;;;;;;;;x
EVTDESCATECAD.001;Hundreds of rioting Hockey supporters are hacked down as the Sabre-wielding Mounties charge into their ranks. Many attempt to flee, but the Mounties give chase and show no mercy to those they catch. The streets are littered with the mangled corpses of hooligans... and a few dozen innocent bystanders. The Mounties are a blunt hammer to be wielded with care.;;;;;;;;;x
EVTOPTAATECAD.001;Such is the fate of those who oppose me..;;;;;;;;;x
EVTTOOLTIPATECAD.002;The City Guard rallies.;;;;;;;;;x
EVTDESCATECAD.002;The City Guard pulls in reinforcement from the other districts and finally manage to disperse the rioting crowds. Many neighborhoods are burning and looting is widespread in those districts the Guard was forced to abandon, but the loss of life is relatively small.;;;;;;;;;x
EVTOPTAATECAD.002;Centuries from now, hooliganism will be extinct.;;;;;;;;;x

HOCKEY GAME EVENTS

EVTDESCATECAD.101;[From.GetTitledFirstName] has challenged you to a friendly game of Hockey at the Hockey stadium in [Root.Location.GetName]. This popular Canadian game can trace its origins back to Pre-Event Canada, and features two teams using sticks to get a leather ball into the opposing team's goal net. Will you accept the challenge?;;;;;;;;;x
EVTOPTAATECAD.101;Of course. I will get the old team together!;;;;;;;;;x
EVTOPTBATECAD.101;Sadly, I have no time.;;;;;;;;;x
EVTDESCATECAD.102;You spend a wonderful afternoon at the Hockey stadium, playing a tense game of Hockey that ends in victory for your team. Your opponent and his team are magnanimous in defeat, and you depart the stadium as friends.;;;;;;;;;x
EVTOPTAATECAD.102;We must do this again sometime.;;;;;;;;;x
EVTDESCATECAD.103;You spend a wonderful afternoon at the Hockey stadium, playing a tense game of Hockey that sadly ends in a defeat for your team. Your opponent and his team are magnanimous in victory, and you depart the stadium as friends.;;;;;;;;;x
EVTOPTAATECAD.103;We need to do a rematch sometime.;;;;;;;;;x
EVTDESCATECAD.104;Sadly, the afternoon you spend at the Hockey stadium ends in disaster. The game of Hockey quickly devolves into a violent melee after you break your stick against the head of your challenger in a sudden fit of rage. You howl obscenities and curses at your opponents, and it takes the efforts of your entire team to end the fight and pull you away from the stadium.;;;;;;;;;x
EVTOPTAATECAD.104;This isn't over! THIS ISN'T OVER!;;;;;;;;;x
tzykanion_accepted;You accept the challenge.;;;;;;;;;x
tzykanion_declined;You refuse the challenge.;;;;;;;;;x
opinion_tzykanion_pos;Hockey Partner;;;;;;;;;x
opinion_tzykanion_neg;Hockey Nemesis;;;;;;;;;x



ATECADTITLE.300;Ontario has fallen!;;;;;;;;;x
EVTDESCATECAD.300;Ontario has fallen! After decades of instability and unrest the ancient Dominion has finaly fallen. With the death of Albert Soady, his sons spent years preparing an invasion to seek revenge. To the horror of the Ontarians and all Remembrants they have succeeded, butchering thousands in the streets of Tarono and carting off thousands of pounds of gold and a great many slaves back home. In the east Ontarian Lords have gained independence though many Remembrants tremble wondering whether God is merely chastising them, or has abandoned them.;;;;;;;;;x
EVTOPTAATECAD.301;Saint Michael the Archangel protect us!;;;;;;;;;x
EVTOPTAATECAD.302;Truly a wonderful day for Thor!;;;;;;;;;x
EVTOPTAATECAD.303;Interesting...;;;;;;;;;x
