#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hold_sol_feast;Hold Ceremony of the Sun;Organiser la fête du Soleil;Feiert ein Fest der Sonne;;Mantener el Festival del Sol;;;;;;;;;x
EVTOPTA_SOL_4196;Until next time!;À la prochaine fois !;Bis zum nächsten Mal!;;¡Hasta la próxima!;;;;;;;;;x
EVTTITLE_SOL_4130;Walking Under the Sun;Promenade au Soleil;Unter der Sonne schreiten;;Caminando Bajo el Sol;;;;;;;;;x
EVTDESC_SOL_4130;The time has come for one of the main events of the Ceremony of the Sun - the ceremony known as Walking Under the Sun. A sunny day is chosen, and on it God the Sun's faithful walk barefoot around the circumference of the temple ninety-nine times, all the while chanting pious rhymes. It is a ritual of physical and spiritual cleansing, as well as a tribute to the Radiant God the Sun.\n\nIt is known both for inspiring great piety and for causing great physical and mental exertion.;Le temps est venu de faire l'un des principaux évènements du festival du Soleil, une cérémonie qu'on appelle la Promenade au Soleil. On choisit une journée ensoleillée et les fidès de Zun marchent pieds nus quatre-vingt-dix-neuf fois autour du temple, en chantant des vers pieux. C'est un rituel qui purifie le corps et l'esprit, de même qu'un hommage au Radieux Seigneur Zun.\n\nCe rituel apporte une grande piété et demande beaucoup d'efforts physiques et mentaux.;Es ist Zeit für einen der Höhepunkte des Festes der Sonne - die Zeremonie des Schreitens im Schein der Sonne. Ein sonniger Tag wird gewählt, an dem Zuns treue Gläubige barfuß und fromme Verse singend neunundneunzig Mal den Tempel umschreiten. Es ist ein Ritual zur körperlichen und seelischen Reinigung ebenso wie ein Tribut an Zun, den Strahlenden Herrn.\n\nEs ist berühmt für seine inspirierende große Frömmigkeit ebenso wie für die gewaltige körperliche und seelische Kraftanstrengung.;;Ha llegado el momento de uno de los principales eventos del Festival del Sol – la ceremonia conocida como Caminando Bajo el Sol. Se escoge un día soleado y entonces los creyentes de Zun caminan descalzos noventa y nueve veces alrededor de la circunferencia del templo, todo ello recitando versos píos. Es un ritual de limpieza física y espiritual, así como un tributo al Radiante Señor Zun\n\nEsto es conocido tanto por inspirar una gran devoción como por exigir un gran esfuerzo físico y mental.;;;;;;;;;x
EVTOPTA_SOL_4130;Together we shall walk in His light!;Marchons ensemble dans Sa Lumière !;Gemeinsam schreiten wir in Seinem Licht!;;¡Caminaremos juntos bajo Su luz!;;;;;;;;;x
EVTDESC_SOL_4131;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. On the seventy-third lap around the temple, you start to feel a weakness and pain in your legs. You try to move forwards but your head is pounding and you struggle for breath. As you fall to your knees, you start to vomit on the ground.;Vous marchez au soleil durant des heures pour honorer [Root.Get_le_HighGod]. Au soixante-dix-septième tour autour du temple, vous commencez à ressentir une douleur et une faiblesse dans vos jambes. Vous essayez d'avancer mais votre tête vous fait mal et vous cherchez votre souffle. Alors que vous tombez à genoux, vous vomissez sur le sol.;Stundenlang schreitet Ihr zu Ehren von [Root.Religion.GetRandomGodName] durch die pralle Sonne. Auf dem dreiundsiebzigsten Umgang werden Eure schmerzenden Beine schwach. Ihr wollt weitergehen, doch in Eurem Kopf pocht es und Ihr leidet unter Atemnot. Ihr fallt auf die Knie und müsst Euch übergeben.;;Caminas durante horas bajo el sol para honrar a [Root.Religion.GetRandomGodName]. En la vuelta setenta y tres alrededor del templo, te han comenzado a flaquear las fuerzas y sientes dolor en tus piernas. Tratas de seguir adelante pero te palpita la cabeza y luchas por respirar. Mientras caes sobre tus rodillas, empiezas a vomitar.;;;;;;;;;x
EVTOPTA_SOL_4131;Aaagh!;Aaagh !;Aaagh!;;¡Aaaah!;;;;;;;;;x
EVTDESC_SOL_4133;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. As your limbs grow more tired and the heat pulses through your brain, you start to see new and clearer perspectives on some things that previously seemed too mysterious to fathom. The sun is just a large cheese and the moon speaks soothing words about your feet. Oh those feet, how they bother you. Maybe you should cut them off?;Vous marchez au soleil durant des heures pour honorer [Root.Get_le_HighGod]. Alors que vos membres sont de plus en plus fatigués et que la chaleur vous donne des vertiges, vous commencez à voir les choses sous un autre angle et comprenez certains mystères. Le soleil n'est qu'un gros fromage et la lune tient un discours apaisant sur vos pieds. Ah ces pieds, qu'ils sont dérangeants. Nous pourrions peut-être les couper ?;Ihr marschiert zu Ehren von [Root.Religion.GetRandomGodName] stundenlang durch die glühende Sonne. Als Eure Glieder ermüden und die Hitze durch Euer Gehirn pulsiert, ergibt sich nach und nach eine neue, klarere Sicht auf Dinge, die zuvor zu mysteriös erschienen, um sie zu ergründen. Die Sonne ist bloß ein riesiger Käse und der Mond spendet tröstende Worte über Eure Füße. Ach diese Füße, sie sind nur noch eine Last. Solltet Ihr sie vielleicht abhacken?;;Caminas durante horas bajo el sol para honrar a [Root.Religion.GetRandomGodName]. A medida que crece el cansancio en tus extremidades y el calor palpita en tu cerebro, empiezas a ver desde nuevos y más reveladores puntos de vista algunas cosas que antes te parecían demasiado misteriosas y no comprendías. El sol no es más que un enorme queso y la luna pronuncia palabras reconfortantes sobre tus pies. Oh, esos pies, como te molestan. ¡Deberías cortártelos, quizás?;;;;;;;;;x
EVTOPTA_SOL_4133;Behold my illumination!;Contemplez mon illumination !;Seht meine Erleuchtung!;;¡Contemplar mi iluminación!;;;;;;;;;x
EVTDESC_SOL_4135;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. As your limbs grow more tired and the heat pulses through your brain, you start to feel a strange presence entering your mind. Yes, yes... the little devils that dwell underground in darkness have come to you and are sitting on your shoulder, invisible, telling you strange secrets!;Vous marchez au soleil durant des heures pour honorer [Root.Get_le_HighGod]. Alors que vos membres sont de plus en plus fatigués et que la chaleur vous donne des vertiges, vous commencez à sentir une étrange présence qui pénètre votre esprit. Oui, oui... ces petits démons qui habitent la noirceur souterraine sont assis sur votre épaule, invisibles et vous disant d'étranges secrets !;Ihr marschiert zu Ehren von [Root.Religion.GetRandomGodName] stundenlang durch die glühende Sonne. Als Eure Glieder ermüden und die Hitze durch Euer Gehirn pulsiert, ergreift auf einmal etwas Seltsames von Euch Besitz. Ja, wirklich ... die kleinen Teufel aus der finsteren Unterwelt sitzen auf Eurer Schulter, unsichtbar und flüstern Euch merkwürdige Geheimnisse zu.;;Caminas durante horas bajo el sol para honrar a [Root.Religion.GetRandomGodName]. A medida que crece el cansancio en tus extremidades y el calor palpita en tu cerebro, empiezas a sentir una extraña presencia penetrando en tu mente. Sí, sí... los pequeños demonios que habitan entre tinieblas bajo tierra, han venido y están sentados en tus hombros, invisibles, ¡explicándote extraños secretos!;;;;;;;;;x
EVTOPTA_SOL_4135;Now everything will be different!;Tout sera si différent dorénavant !;Jetzt wird alles anders!;;¡Ahora todo será diferente!;;;;;;;;;x
EVTDESC_SOL_4137;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. As your limbs grow more tired and the heat pulses through your brain, you turn your face upwards towards the Sun. You feel the light and warmth coarse through your mind and body, and shudder with excitement. Only now have you fully understood!;Vous marchez au soleil durant des heures pour honorer [Root.Get_le_HighGod]. Alors que vos membres sont de plus en plus fatigués et que la chaleur vous donne des vertiges, vous tournez votre visage vers le Soleil. Vous sentez la lumière et une chaleur crue envahir votre esprit et votre corps. Vous frémissez d'excitation. Vous avez enfin tout compris !;Ihr marschiert zu Ehren von [Root.Religion.GetRandomGodName] stundenlang durch die glühende Sonne. Als Eure Glieder ermüden und die Hitze durch Euer Gehirn pulsiert, wendet Ihr Euer Antlitz der Sonne zu. Ihr spürt, wie Licht und Wärme durch Körper und Seele fahren und Ihr zittert vor Erregung. Endlich habt Ihr alles begriffen!;;Durante horas has caminado bajo el sol para honrar a [Root.Religion.GetRandomGodName]. A medida que crece el cansancio en tus extremidades y el calor palpita en tu cerebro, giras el rostro hacia el Sol. Sientes la luz y el intenso calor a través de tu mente y tu cuerpo, y te estremeces agitadamente. ¡Sólo ahora comprendes plenamente!;;;;;;;;;x
EVTOPTA_SOL_4137;Praise His sacred light!;Gloire à Sa lumière sacrée !;Gepriesen sei Sein Heiliges Licht!;;¡Alabar Su luz sagrada!;;;;;;;;;x
EVTDESC_SOL_4139;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. As your limbs grow more tired and the heat pulses through your brain, you press on. You feel this ordeal is hardening you and giving you new strength. Perhaps you should take to doing similar exercises more frequently once the festival is over?;Vous marchez au soleil durant des heures pour honorer [Root.Get_le_HighGod]. Alors que vos membres sont de plus en plus fatigués et que la chaleur vous donne des vertiges, vous pressez le pas. Vous sentez que cette épreuve vous rend plus fort. Vous devriez peut-être faire des exercices semblables plus souvent après la fête ?;Ihr marschiert zu Ehren von [Root.Religion.GetRandomGodName] stundenlang durch die glühende Sonne. Als Eure Glieder ermüden und die Hitze durch Euer Gehirn pulsiert, schreitet Ihr weiter voran. Ihr spürt, wie diese Prüfung Euch festigt und Euch neue Kraft gibt. Vielleicht solltet Ihr solche Übungen öfter auf Euch nehmen, auch wenn das Fest vorbei ist?;;Caminas durante horas bajo el sol para honrar a [Root.Religion.GetRandomGodName]. A medida que crece el cansancio en tus extremidades y el calor palpita en tu cerebro, tú sigues adelante sin desfallecer. Sientes que este sacrificio te está fortaleciendo y que te da fuerzas renovadas. ¿Deberías considerar hacer ejercicios de este tipo más frecuentemente una vez finalice el festival? ;;;;;;;;;x
EVTOPTA_SOL_4139;This is making me strong!;La force est avec moi !;Dies macht mich stark!;;¡Esto me fortalece!;;;;;;;;;x
EVTDESC_SOL_4141;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. As your limbs grow more tired and the heat pulses through your brain, your mind wanders and you start to see new perspectives and angles on some familiar problems. Perhaps you should start thinking outside your usual patterns?;Vous marchez au soleil durant des heures pour honorer [Root.Get_le_HighGod]. Alors que vos membres sont de plus en plus fatigués et que la chaleur vous donne des vertiges, votre esprit erre et vous voyez vos problèmes sous de nouveaux angles. Vous devriez peut-être penser différemment ?;Ihr marschiert zu Ehren von [Root.Religion.GetRandomGodName] stundenlang durch die glühende Sonne. Als Eure Glieder ermüden und die Hitze durch Euer Gehirn pulsiert, wandern Eure Gedanken und nach und nach ergeben sich neue Sichtweisen auf alte Probleme. Vielleicht sollten Eure Gedanken mal die üblichen Muster verlassen?;;Caminas durante horas bajo el sol para honrar a [Root.Religion.GetRandomGodName]. A medida que crece el cansancio en tus extremidades y el calor palpita en tu cerebro, tu mente deambula y empiezas a ver desde nuevas perspectivas algunos problemas familiares. ¿Quizás deberías empezar a mirar los problemas desde otros puntos de vista?;;;;;;;;;x
EVTOPTA_SOL_4141;Hmm...;Hmm...;Hmm ...;;Mmm...;;;;;;;;;x
EVTDESC_SOL_4143;You walk for hours in the sun to honor [Root.Religion.GetRandomGodName]. As your limbs grow more tired and the heat pulses through your brain, you turn your face upwards towards the Sun. As you feel His strong warmth and presence embrace you, you open your eyes and stare into His face to embrace the divine mysteries to be seen therein. You stare for a long while...;Vous marchez au soleil durant des heures pour honorer [Root.Get_le_HighGod]. Alors que vos membres sont de plus en plus fatigués et que la chaleur vous donne des vertiges, vous tournez votre visage vers le Soleil. Alors que vous vous sentez bercé par Sa forte et chaude présence, vous ouvrez les yeux et Le dévisagez pour percer Ses mystères. Vous restez ainsi longtemps...;Ihr marschiert zu Ehren von [Root.Religion.GetRandomGodName] stundenlang durch die glühende Sonne. Als Eure Glieder ermüden und die Hitze durch Euer Gehirn pulsiert, wendet Ihr Euer Antlitz der Sonne zu. Ihr spürt Seine starke Wärme, er ist da und umarmt Euch. Ihr öffnet die Augen und blickt in Sein Gesicht, um die göttlichen Geheimnisse darin zu erkennen. Ihr schaut ganz lange hin ...;;Caminas durante horas bajo el sol para honrar a [Root.Religion.GetRandomGodName]. A medida que crece el cansancio en tus extremidades y el calor palpita en tu cerebro, giras el rostro hacia el Sol. Mientras sientes como su fuerte calidez y presencia te embriaga, abres tus ojos y miras fijamente hacia Su rostro para abrazar los divinos misterios que se pueden ver en Él. Clavas la mirada por un largo tiempo...;;;;;;;;;x
EVTOPTA_SOL_4143;But wait... now everything went dark.;Mais... comment ? Tout est noir maintenant.;Doch halt ... Plötzlich ist alles dunkel.;;Pero espera... ahora todo se ha vuelto oscuro.;;;;;;;;;x
EVTDESC_SOL_4190;The ceremony of thanksgiving to Jesucristo, the divine savior, is held in courtyard of the temple. All the attendants bare their heads and kneel to give thanks for the light, warmth, justice, wisdom and fertility that He gives His faithful worshipers. Bread is passed around and consumed by the worshipers in the tradition of the Second Messiah, Jesucristo.;La cérémonie des grâces en l'honneur de Zun le Justicier est tenue dans la cour du temple. Tous ceux qui y assistent se découvrent la tête et s'agenouillent afin de rendre grâce à la lumière, la chaleur, la justice, la sagesse et la fertilité qu'Il donne à Ses fidèles. Les fidèles se partagent du pain épicé de saint safran.;Die Dankesfeier für Zun, dem Geber der Gerechtigkeit, findet im Innenhof des Tempels statt. Alle Anwesenden entblößen ihre Häupter und knien nieder, um für Licht, Wärme, Gerechtigkeit, Weisheit und Fruchtbarkeit zu danken, die Er Seinen treuen Gläubigen spendet. Mit heiligem Safran gewürztes Brot wird an die Betenden verteilt.;;La ceremonia de acción de gracias a Zun, el que Imparte Justicia, se lleva a cabo en el claustro del templo. Todos los asistentes descubren sus cabezas y se arrodillan para dar gracias por la luz, la calidez, la justicia, la sabiduría y la fertilidad que Él proporciona a Sus devotos. Los creyentes comen y comparten pan sazonado con azafrán sagrado.;;;;;;;;;x
EVTOPTA_SOL_4190;Praise Jesucristo!;Louons [Root.Get_le_HighGod] !;Gepriesen sei [Root.Religion.GetRandomGodName]!;;¡Adorar a [Root.Religion.GetRandomGodName]!;;;;;;;;;x

sol_judgement;Judged by the Sol de Justicio;;;;;;;;;x
vassal_sol_judgement_decision;Have [Root.GetTitledFirstName] judged by the Sol de Justicio;Faire juger [Root.Get_le_TitledFirstName] par Zun;Lasst Zun ein Urteil über [Root.GetTitledFirstName] fällen;; Hacer juzgar a [Root.GetTitledFirstName] por Zun;;;;;;;;;x
vassal_sol_judgement_decision_desc;By having [Root.GetTitledFirstName] thrown into a pit, fully exposed to the sun, [Root.GetSheHe] shall be exposed to the Sol Invicto's holy rays for days and will be given the 'justice' that [Root.GetSheHe] deserves.;En faisant jeter [Root.Get_le_TitledFirstName] dans un puits au beau milieu du désert, vous [Root.GetLeLa] soumettrez au jugement de Zun pendant plusieurs jours. [Root.GetIlElleCap] recevra alors la 'justice' qu'il mérite.;Indem wir [Root.GetTitledFirstName] in einer Grube mitten in der Wüste schmachten lassen, wo [Root.GetSheHe] tagelang Zun ausgesetzt sein wird, dürfte [Root.Getihmihr] die "Gerechtigkeit" zuteil werden, die [Root.GetSheHe] verdient.;;Habiendo arrojado a [Root.GetTitledFirstName] en un pozo en medio del desierto, estará expuesto a Zun durante días y obtendrá, más probablemente, la "justicia" que se merece.;;;;;;;;;x
EVTDESCCM15002;The guards visited me today, they merely tossed down a rope I hope I have the strength to climb.;Les gardes sont venus me voir aujourd'hui. Ils n'ont fait que me lancer une corde. J'espère que j'aurai la force de remonter.;Die Wachen besuchten mich heute und warfen mir einfach ein Seil zu. Ich hoffe, ich habe noch die Kraft zu klettern.;;Hoy los guardias han venido a verme, se han limitado a tirarme una cuerda. Espero tener la fuerza para poder subir.;;;;;;;;;x
EVTOPTACM15002;Oh sweet freedom!;Que c'est bon d'être libre !;Oh, süße Freiheit!;;¡Oh, dulce libertad!;;;;;;;;;x
EVTDESCCM15004;The rays from the sun dig into my skin, it cracks and bleeds and I feel myself slipping away almost as if floating out of this pit.;Les rayons du soleil transpercent ma peau, elle craque et saigne, je me sens partir, j'ai l'impression que je commence à sortir de ce puits en flottant dans l'air.;Die Strahlen der Sonne dringen in meine Haut ein, sie reißt und blutet und ich spüre, wie ich dahinschwinde, fast als ob ich aus dieser Grube entschweben würde.;;The rays from the sun dig into my skin, it cracks and bleeds and I feel myself slipping away almost as if floating out of this pit.;;;;;;;;;x
EVTOPTACM15004;Is this how I die?;Vais-je mourir ainsi ?;So soll ich sterben?;; ¿Es así como muero?;;;;;;;;;x
EVTDESCCM15005;Who's there, who are you? I can hear you but can't touch you? P-Please help me I can hear you just outside the pit please i'm begging you.!;Qui est là ? Qui êtes-vous ? Je vous entends mais je ne peux pas vous toucher ! Je vous en prie, aidez-moi à sortir de ce puits, je vous en supplie !;Wer ist da, wer seid Ihr? Ich kann Euch hören, aber nicht ertasten. B-Bitte helft mir. Ich höre Euch doch. Ihr seid draußen, vor der Grube! Bitte! Ich flehe Euch an!;;¿Quién está ahí? ¿Quién eres?¿Puedo oírte pero no te puedo tocar? P-Por favor ayúdeme, puedo oírte justo fuera del pozo. ¡Por favor, te lo suplico!;;;;;;;;;x
EVTOPTACM15005;Was that a person leaning over the edge, or a figment of my imagination!;Quelqu'un s'est-il penché au bord du puits, ou était-ce mon imagination ?;Lehnte sich da gerade jemand hinab oder war das nur Einbildung?;;¡Era eso una persona reclinada sobre el límite, o fue producto de mi imaginación!;;;;;;;;;x
EVTDESCCM15006;As I lie in the pit hoping for salvation yet another day I realize that none will come. Has I been forsaken? No that can't be it! I must keep believing, its the only thing I have left.;Couché dans ce puits à espérer qu'on me vienne en aide, je comprends soudain que personne ne viendra. Ai-je été abandonné ? Non ! C'est impossible ! Je dois continuer à croire. C'est tout ce qu'il me reste.;Nach einem weiteren Tag in der Grube wird mir klar, dass niemand kommen wird. Hat man mich im Stich gelassen? Nein, das kann nicht sein! Ich darf den Glauben nicht aufgeben. Er ist das Einzige, was mir noch bleibt.;;Mientras yazgo en el pozo esperando la salvación durante otro día, me doy cuenta que no vendrá nadie. ¿Me han abandonado? ¡No, esto no puede ser! Necesito tener esperanza, es lo único que me queda.;;;;;;;;;x
EVTOPTACM15006;I will prove myself worthy to be [Root.Religion.GetHighGodName]'s servant.;Je vais me prouver que je sers dignement [Root.Get_le_HighGod] !;Ich werde mich würdig erweisen, Diener von [Root.Religion.GetHighGodName] zu sein.;;Es una prueba de [Root.Religion.GetHighGodName]. Mostraré mi fe, voy a demostrar que soy digno de ser un siervo de [Root.Religion.GetHighGodName].;;;;;;;;;x
EVTDESCCM15007;On my back, staring up at the sun beating down upon me. This pit is torture, the heat scratches my skin like a thousand tiny blades I hope for salvation, I hope for freedom, I hope that my captors will release me but deep down I'm starting to realise...;Allongé sur le dos, je regarde le soleil qui frappe ma peau. Cette fosse est une torture. Le soleil perce ma peau comme un millier de lames minuscules. J'espère le salut. J'espère la liberté. J'espère que mes ravisseurs me libèreront, mais au plus profond de moi, je commence à comprendre...;Ich liege auf dem Rücken und starre nach oben, wo die Sonne auf mich hinabbrennt. Diese Grube ist eine Folter. Die Hitze ritzt meine Haut wie tausende kleine Klingen. Ich sehne mich nach Erlösung, ich hoffe noch auf Freiheit, doch tief in mir beginne ich zu verstehen, dass ...;;Boca arriba, miro el sol cayendo a plomo sobre mí. Este pozo es una tortura, el calor araña mi piel como un millar de diminutas cuchillas. Deseo la salvación, deseo la libertad, espero que mis captores me liberen, pero en el fondo estoy empezando a darme cuenta de que...;;;;;;;;;x
EVTOPTACM15007;The only one that can release me from this torture, from the unbearable heat is the divine mercy of God the Sun!;Le seul qui peut me sauver de cette torture, de cette chaleur insupportable, c'est mon nouveau maître, Zun !;Der Einzige, der mich von dieser Folter, dieser unerträglichen Hitze erlösen kann, ist mein neuer Meister Zun!;;¡El único que puede liberarme de esta tortura, del calor insoportable, es mi nuevo señor supremo  Zun!;;;;;;;;;x
