#Eastern Christianity, Orthodoxy, Old Believers, Syriacs, and Armenians

EVTOPTAarmenian_apostolic.14;It is finished.;;;;;;;;;;;;;x

#A servant slaughters the rooster
EVTDESCarmenian_apostolic.15;You have decided to let a servant perform the ceremony, first you get a priest to bless the salt. The animal is not blessed only the salt is, serving as a symbol of purity and sanctification. Leading the rooster to the doorsteps of a church your servant performs the Matagh, slitting its throat.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.15;It is done.;;;;;;;;;;;;;x

#You slaughter the ram
EVTDESCarmenian_apostolic.16;You have decided to let a servant perform the ceremony, first you get a priest to bless the salt. The animal is not blessed only the salt is, serving as a symbol of purity and sanctification. Leading the rooster to the doorsteps of a church your servant performs the Matagh, slitting its throat.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.16;It is done.;;;;;;;;;;;;;x

#A servant slaughters the ram
EVTDESCarmenian_apostolic.17;You have decided to let a servant perform the ceremony, first you get a priest to bless the salt. The animal is not blessed only the salt is, serving as a symbol of purity and sanctification. Leading the ram to the doorsteps of a church your servant performs the Matagh, slitting its throat.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.17;It is done.;;;;;;;;;;;;;x

#You slaughter the bull
EVTDESCarmenian_apostolic.18;You have decided to let a servant perform the ceremony, first you get a priest to bless the salt. The animal is not blessed only the salt is, serving as a symbol of purity and sanctification. Leading the bull to the doorsteps of a church your servant performs the Matagh, slitting its throat.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.18;It is done.;;;;;;;;;;;;;x

#A servant slaughters the bull
EVTDESCarmenian_apostolic.19;You have decided to let a servant perform the ceremony, first you get a priest to bless the salt. The animal is not blessed only the salt is, serving as a symbol of purity and sanctification. Leading the bull to the doorsteps of a church your servant performs the Matagh, slitting its throat.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.19;It is done.;;;;;;;;;;;;;x

########################### 
#Sharing of sacrifice 
EVTDESCarmenian_apostolic.5;The rooster has been slain, its meat is boiled in water and seasoned with salt and nothing more. Its entrails and head are not cooked so it is buried so that it does not become food for any scavenging animals. Before its death it is fed the sanctified salt and is purified by it. After it is prepared you have to serve the meat.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.5;I will share God's gifts with the community.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.5;I will share it with myself.;;;;;;;;;;;;;x

#Sharing of sacrifice 
EVTDESCarmenian_apostolic.11;The ram has been slain, its meat is boiled in water and seasoned with salt and nothing more. Its entrails and head are not cooked so it is buried so that it does not become food for any scavenging animals. Before its death it is fed the sanctified salt and is purified by it. After it is prepared you have to serve the meat.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.11;I will share God's gifts with the community.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.11;I will share it with myself.;;;;;;;;;;;;;x

#Sharing of sacrifice 
EVTDESCarmenian_apostolic.12;The bull has been slain, its meat is boiled in water and seasoned with salt and nothing more. Its entrails and head are not cooked so it is buried so that it does not become food for any scavenging animals. Before its death it is fed the sanctified salt and is purified by it. After it is prepared you have to serve the meat.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.12;I will share God's gifts with the community.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.12;I will share it with myself.;;;;;;;;;;;;;x

#Sharing of sacrifice #Event 13 
EVTDESCarmenian_apostolic.13;The sacrifice has been made. Duh!;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.13;I will share God's gifts with the community.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.13;I will share it with myself.;;;;;;;;;;;;;x

EVTDESCarmenian_apostolic.14;You have decided to lead the sacrifice yourself, as you approach the sitting animal you gfsfdFDFSFDFDSasd.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.14;Praise God!;;;;;;;;;;;;;x

#A servant slaughters the rooster
EVTDESCarmenian_apostolic.15;The servant approaches the sitting gfsfdFDFSFDFDSasd.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.15;Praise God!;;;;;;;;;;;;;x

#You slaughter the ram
EVTDESCarmenian_apostolic.16;You have decided to lead the sacrifice yourself, as you approach the sitting animal you gfsfdFDFSFDFDSasd.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.16;Praise God!;;;;;;;;;;;;;x

#A servant slaughters the ram
EVTDESCarmenian_apostolic.17;The servant approaches the sitting gfsfdFDFSFDFDSasd.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.17;Praise God!;;;;;;;;;;;;;x

#You slaughter the bull
EVTDESCarmenian_apostolic.18;You have decided to lead the sacrifice yourself, as you approach the sitting animal you gfsfdFDFSFDFDSasd.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.18;Praise God!;;;;;;;;;;;;;x

#A servant slaughters the bull
EVTDESCarmenian_apostolic.19;The servant approaches the sitting gfsfdFDFSFDFDSasd.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.19;Praise God!;;;;;;;;;;;;;x


########################### 
#Sharing of sacrifice 
EVTDESCarmenian_apostolic.5;The sacrifice has been made;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.5;I will share God's gifts with the community.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.5;I will feed more family first.;;;;;;;;;;;;;x

#Sharing of sacrifice 
EVTDESCarmenian_apostolic.11;The sacrifice has been made;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.11;I will share God's gifts with the community.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.11;I will go with a pig.;;;;;;;;;;;;;x

#Sharing of sacrifice 
EVTDESCarmenian_apostolic.12;The sacrifice has been made;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.12;I will share God's gifts with the community.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.12;I will go with a pig.;;;;;;;;;;;;;x

#Sharing of sacrifice 
EVTDESCarmenian_apostolic.13;The sacrifice has been made;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.13;I will share God's gifts with the community.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.13;I will go with a pig.;;;;;;;;;;;;;x

##############All sharings lead here either 6 or 7 (and 7 leads to 7 getting the majorit of the time) Except for the Doves


#Refuse to share in God's Gift
EVTDESCarmenian_apostolic.6;One of your courtiers has discovered that you did not distribute the the meat of the slaughtered animal to the greater community and that you instead plan on distributing the meat solely to yourself and your family. In shock the courtier asks why have you acted so miserly.;;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.6;Admit the Theft.;;;;;;;;;;;;;x
EVTOPTBarmenian_apostolic.6;Give out alms as penance.;;;;;;;;;;;;;x
EVTOPTCarmenian_apostolic.6;No I don't know what you are talking about.;;;;;;;;;;;;;x

#Successful Matagh
EVTDESCarmenian_apostolic.7;Matagh is a giving of alms, in the Gospels of Luke it is said, "When you hold a lunch or a dinner, do not invite your friends or your brothers or your relatives or your wealthy neighbors, in case they may invite you back and you have repayment. Rather, when you hold a banquet, invite the poor, the crippled, the lame, the blind; blessed indeed will you be because of their inability to repay you. For you will be repaid at the resurrection of the righteous.";;;;;;;;;;;;;x
EVTOPTAarmenian_apostolic.7;God is good and God is great.;;;;;;;;;;;;;x

################Assyrian Events

EVTDESC_newnestorian_1;You have chosen to dedicate yourself to a particular saint, and through modeling yourself after them, you may set yourself closer to God's holiness.;;;;;;;;;;;;;x
EVOTPA_newnestorian_1;I shall dedicate myself to Mar Zaya, blessed and handsome.;;;;;;;;;;;;;x
EVOTPB_newnestorian_1;I shall dedicate myself to Mar Maroun, for his humbleness.;;;;;;;;;;;;;x
EVOTPC_newnestorian_1;I shall dedicate myself to Mar Nestor, for laying out the teachings.;;;;;;;;;;;;;x
EVOTPD_newnestorian_1;I shall dedicate myself to Mar Abba, for his greatness.;;;;;;;;;;;;;x
nestorian_mar_zaya;Mar Zaya;;;;;;;;;;;;;x
nestorian_mar_abba;Mar Abba;;;;;;;;;;;;;x
nestorian_mar_maroun;Mar Maroun;;;;;;;;;;;;;x
nestorian_mar_nestor;Mar Nestor;;;;;;;;;;;;;x
select_nestorian_patron_saint;Select Nestorian Patron Saint;;;;;;;;;;;;;x
select_nestorian_patron_saint_desc;I can choose to dedicate myself to a specific saint in order to come closer to god.;;;;;;;;;;;;;x
TXT_nestorian_mar_zaya;Mar Zaya is known for being the patron saint against plagues.;;;;;;;;;;;;;x
TXT_nestorian_mar_abba;Mar Abba is known for his comprehensiveness.;;;;;;;;;;;;;x
TXT_nestorian_mar_maroun;Mar Maorun is known for his humbleness and respectability.;;;;;;;;;;;;;x
TXT_nestorian_mar_maroun;Mar Nestor is known for his great knowlodge of religious matters.;;;;;;;;;;;;;x
EVTOPTA_newnestorian.2;I should strive to be more like them!;;;;;;;;;;;;;x
EVTOPTB_newnestorian.2;Oh to be like them!;;;;;;;;;;;;;x
EVTOPTC_newnestorian.2;My heart is now closed to their messages...;;;;;;;;;;;;;x
EVTDESC_newnestorian.2;My patron saint Zaya did not shy away from matters, they sought the truth of god whenever it led them, and were important in their search of Him even in the sphere of the mystical.;;;;;;;;;;;;;x
EVTDESC_newnestorian.3;My patron saint Maroun was a humble man, living as an ascetic hermit up in the mountains, and knowing that we should not be proud in the face of God.;;;;;;;;;;;;;x
EVTDESC_newnestorian.4;My patron saint Nestor was the father of this Church, a corner stone of the knowlodge God revealed, but only through hard work and dedication did he menage, and only through erudition his message spread.;;;;;;;;;;;;;x
EVTDESC_newnestorian.5;My patron saint Abba was a just man, he knew right from wrong and was a good patriarch of the Church before the event.;;;;;;;;;;;;;x
EVTDESC_newnestorian.6;Having abandoned my old faith, the teachings of the saints no longer mean the same to me...;;;;;;;;;;;;;x

################### Assyrian Apostolic Events
opinion_naheere;Celebrated Naheere;;;;;;;;;;;;;x
opinion_naheere_desc;This person has decided to participate in Naheere.;;;;;;;;;;;;;x
opinion_refused_naheere;Ignored Naheere;;;;;;;;;;;;;x
opinion_refused_naheere_desc;This person has refused to participate in Naheere.;;;;;;;;;;;;;x
